asn,network_type,network_name
4436,NSP,GTT Communications (AS4436)
20940,Content,Akamai Technologies
31800,Non-Profit,DALnet IRC Network
3303,Cable/DSL/ISP,Swisscom
22773,Cable/DSL/ISP,Cox Communications
6079,Cable/DSL/ISP,Astound
7843,Cable/DSL/ISP,Charter Communications (7843)
1299,NSP,Arelion (Twelve99)
7132,Cable/DSL/ISP,AT&T US - AS7132
2828,NSP,XO Communications
3257,NSP,GTT Communications (AS3257)
2818,Content,BBC
19165,Cable/DSL/ISP,Webpass
34135,Educational/Research,Renesys
12200,Content,Rackspace
4766,Cable/DSL/ISP,KT Corporation (Korea Telecom)
6066,Educational/Research,MCI - MAE.net
10310,Content,Yahoo!
19029,NSP,New Edge Networks
5410,Cable/DSL/ISP,Bouygues Telecom ISP
10255,Cable/DSL/ISP,Cambridge Bandwidth Consortium
6762,NSP,Telecom Italia Sparkle
6320,NSP,Fused Networks
8001,NSP,Cologix
18740,Content,YellowBrix
10026,NSP,Pacnet
3549,NSP,Lumen AS 3549
852,NSP,TELUS Communications
3742,NSP,Semaphore Corporation
1668,NSP,AOL
8121,NSP,Wave Datacenters - F/K/A Layer42
4589,Cable/DSL/ISP,GTT Communications (AS4589)
2110,Cable/DSL/ISP,BT Ireland
6871,Cable/DSL/ISP,Plusnet plc
5503,Cable/DSL/ISP,RM Education plc
13646,Content,Plactrix Technologies
8422,Cable/DSL/ISP,NetCologne
13037,Cable/DSL/ISP,Zen Internet
5587,Cable/DSL/ISP,Itility
20976,NSP,Hotlinks Internet Services
8607,Cable/DSL/ISP,Digital Space Group Ltd
8708,Cable/DSL/ISP,RCS & RDS
5669,NSP,VIA NET.WORKS
2647,NSP,Orange Business Services North America
8404,Cable/DSL/ISP,cablecom GmbH
6805,NSP,Telefónica Germany GmbH & Co. OHG
8546,Cable/DSL/ISP,Your Communications/THUS
5400,NSP,BT
12322,Cable/DSL/ISP,Free SAS
6730,Cable/DSL/ISP,Sunrise GmbH
6656,Cable/DSL/ISP,Star Technology Services Ltd
9002,NSP,RETN
13237,NSP,euNetworks Group
13184,Cable/DSL/ISP,Telefonica Germany GmbH & Co. OHG (AS13184)
24851,NSP,Netcetera
8419,NSP,Hotchilli Internet
20799,Network Services,Datanet
4181,Cable/DSL/ISP,TDS Telecom
3344,Content,Kewlio.net Limited
9153,NSP,Burstfire Networks Ltd
701,NSP,Verizon
21155,NSP,ProServe B.V.
28747,Content,Easyhost
9044,Cable/DSL/ISP,BSE Software GmbH / SolNet
6911,Cable/DSL/ISP,Pro-Net Internet Services Ltd
23498,NSP,Aptum Fibre (Toronto)
1785,Cable/DSL/ISP,Paetec Communications
8468,NSP,CityFibre
36168,Content,"Bebo, Inc."
11841,Cable/DSL/ISP,LINKLINE Communications
25048,NSP,DSNet Limited
13030,NSP,Init7
5764,Cable/DSL/ISP,Convoke Communications Corp
13657,Cable/DSL/ISP,EGATE Networks Inc.
18705,NSP,BlackBerry
12059,Cable/DSL/ISP,ILAP - Internet Light and Power
3741,NSP,"Internet Solutions, South Africa"
24916,Cable/DSL/ISP,Orbital Net Ltd
5769,Cable/DSL/ISP,Videotron AS5769
15703,NSP,TrueServer
14453,NSP,CentriLogic Canada
15600,Cable/DSL/ISP,Quickline AG
8565,Cable/DSL/ISP,BlueGIX
3320,NSP,Deutsche Telekom
5413,Cable/DSL/ISP,Daisy Corporate Services
6067,Cable/DSL/ISP,Onyx
21069,Content,METANET AG
25560,Content,rh-tec Business GmbH
29017,NSP,Gyron Internet Ltd
12350,Cable/DSL/ISP,VTX Services SA
31424,NSP,Netrics Zuerich AG
20634,Cable/DSL/ISP,Telecom Liechtenstein AG
7784,Cable/DSL/ISP,"Atlantech Online, Inc."
23310,Educational/Research,Tasty Lime
30094,Content,Giganews
6539,NSP,Bell Canada (formally Group Telecom)
14492,Content,DataPipe
16559,NSP,"RealConnect, Inc"
1836,Cable/DSL/ISP,green.ch AG
7091,NSP,ViaNet Communications
4306,Content,Novia Internetworking
4788,Cable/DSL/ISP,Telekom Malaysia Berhad (TM)
3213,Cable/DSL/ISP,Bogons
559,Educational/Research,SWITCH
22612,Content,Namecheap
2915,NSP,OCX
4725,NSP,Softbank Corp. (former Japan Telecom)
6666,Content,Headlight
3300,Cable/DSL/ISP,British Telecom GIIB
29260,Educational/Research,Netlantis
8560,NSP,IONOS SE
20640,Cable/DSL/ISP,Titan Networks
9132,Cable/DSL/ISP,Broadnet-Mediascape
174,NSP,"Cogent Communications, Inc."
12859,NSP,BIT BV
8763,NSP,DENIC eG
8308,NSP,NASK
680,Educational/Research,DFN Deutsches Forschungsnetz e.V.
2856,NSP,BTnet (BT's UK IP Network - AS2856)
25358,NSP,Novso
8586,Cable/DSL/ISP,Talk Talk Business
1853,Educational/Research,ACOnet
6939,NSP,Hurricane Electric
29452,Content,Secura Hosting Ltd
8190,NSP,MDNX
5588,NSP,T-Mobile CZ AS5588
15290,Cable/DSL/ISP,MTS Allstream
4136,NSP,QTS New Jersey
13301,Content,UNITED COLO GmbH / NGZ-Server.de
812,Cable/DSL/ISP,Rogers Cable
4134,NSP,China Telecom
23393,Content,NuCDN
10678,Cable/DSL/ISP,The Higher Technology (THT.net)
8839,Content,SdV
6327,Cable/DSL/ISP,Shaw Cablesystems
19752,NSP,Hydro One Telecom
3209,Cable/DSL/ISP,Vodafone Germany
8554,NSP,TAS France
2152,Educational/Research,CENIC / CalREN AS2152
15422,Content,PPR
9177,NSP,"Mezhdurechensk factory of radio equipment repair, Ltd"
9145,Cable/DSL/ISP,EWE TEL
702,NSP,Verizon - EMEA
101,Educational/Research,Pacific Northwest Gigapop
4355,Cable/DSL/ISP,EarthLink
24904,Cable/DSL/ISP,"KWAOO, K-NET"
6830,Cable/DSL/ISP,Liberty Global
5605,Cable/DSL/ISP,NetUSE AG
1290,NSP,Telstra International (PSINet UK)
27524,NSP,Xeex Communications
14361,NSP,HopOne Internet Corp.
43376,Cable/DSL/ISP,DOTRO Telecom
25443,Content,International Data Group
13680,NSP,HGTN.net
27257,NSP,Webair
3292,Cable/DSL/ISP,TDC A/S
2381,Educational/Research,WiscNet
21844,Content,The Planet Internet Services
13649,Content,Flexential Internet Services
26347,Content,DreamHost
29748,NSP,QTS Ashburn
7575,Educational/Research,AARNet
3602,NSP,Rogers RTI
6619,NSP,Samsung SDS
13571,Cable/DSL/ISP,Videotron AS13571
26108,Content,Pricegrabber.com
12111,NSP,OneEighty Networks
6456,Content,Altopia Corporation
5738,NSP,Sovernet Communications
3064,Content,"Affinity Internet, Inc."
31529,Non-Profit,DENIC Anycast
5650,NSP,Frontier Communications of America (FCA)
26496,Content,GoDaddy
297,Educational/Research,NASA / CSO
15169,Content,Google LLC
703,NSP,Verizon - Asia-Pac
5533,Cable/DSL/ISP,VIA NET.WORKS Portugal
6453,NSP,TATA Communications Ltd
15542,Cable/DSL/ISP,DELTA Fiber - AS15542
20500,Cable/DSL/ISP,Griffin Internet
30071,Educational/Research,OCCAID
12902,Cable/DSL/ISP,Luna.nl B.V.
4716,Cable/DSL/ISP,KDDI (former POWEREDCOM)
16186,NSP,IP Group
21409,NSP,Ikoula
2906,Content,Netflix
7908,NSP,BT LatAm
16245,NSP,Netgroup A/S
8342,NSP,RTCOMM
4150,Cable/DSL/ISP,SupraNet Communications
15657,Content,Speedbone GmbH
12083,Cable/DSL/ISP,WOW!
12713,NSP,OTEGlobe
29329,Cable/DSL/ISP,NODEX
5430,NSP,freenet Cityline GmbH
21947,NSP,Blackfoot Communications Inc
9304,NSP,HGC
24130,NSP,PIPE Networks
25309,Route Server,TOP-IX Route Servers
5511,NSP,Orange
18607,Educational/Research,SNEK
25975,NSP,GreatAccess.com
34746,Content,Eaton Kaye Ltd
8014,Cable/DSL/ISP,"Bahamas Telecommunications Company, LTD."
2128,Route Collector,INEX Route Collectors
3356,NSP,Lumen AS3356
13193,Cable/DSL/ISP,Nerim
35028,Enterprise,Multiplay (UK) Ltd [GB]
8928,NSP,GTT Communications (AS8928)
29877,Cable/DSL/ISP,STS Telecom
33419,Content,"Exponential Interactive, Inc."
15533,Content,Sungard Availability Services (Europe)
4565,NSP,GTT Communications (AS4565)
286,NSP,GTT (former KPN International / KPN Eurorings)
19151,NSP,365 Data Centers (BroadbandONE)
558,NSP,"Net Data Centers, Inc."
7332,Cable/DSL/ISP,LightBound
5462,Cable/DSL/ISP,Telewest Broadband
30092,NSP,Assertive Networks
36472,Content,GCIS Inc.
16150,NSP,GlobalConnect AS16150
11726,Cable/DSL/ISP,MetroFax
6405,NSP,AiNET
25596,Cable/DSL/ISP,Cambrium BV.
18052,NSP,Asiakomnet Multimedia
17106,Cable/DSL/ISP,Midwest Wireless Holdings LLC
30746,Educational/Research,Nat Morris
6130,Content,LightEdge NFINIT
11686,Educational/Research,"Education Networks of America, Inc."
7795,Network Services,"LUMOS Networks, Inc."
10565,NSP,Silicon Valley Colocation
8365,Educational/Research,MANDA
20704,Cable/DSL/ISP,www.funknetz.at LE GmbH
32787,NSP,Akamai Prolexic DDoS Mitigation
1239,NSP,Sprint - AS1239
5459,Route Collector,LINX Route Collectors
21396,NSP,NetConnex
14280,Content,NetNation Communications Inc.
20312,Educational/Research,CNTI
6667,NSP,Elisa Corporation
35627,Non-Profit,Phyxia Networks
25108,Content,iomart - Asia/Middle East
15598,Content,NorthC Germany
49621,NSP,Thinfactory N.V
30961,Content,Openminds
32952,NSP,FiberNet Telecom Group
9031,NSP,EDPNET Belgium
3605,Cable/DSL/ISP,Docomo Pacific
33472,Content,Hudson Digital
8201,Cable/DSL/ISP,EVONET Belgium NV
15589,NSP,Retelit S.p.A. (formerly Clouditalia)
11643,Content,eBay Inc.
21195,Cable/DSL/ISP,DGC One AB
8897,Cable/DSL/ISP,Nasstar SPN
34968,NSP,iunxi BV
8804,NSP,regio[.NET]
20144,Non-Profit,l.root-servers.net
12956,Cable/DSL/ISP,Telxius Cable
12654,Educational/Research,RIPE NCC RIS Project
17374,Enterprise,Walmart
21202,NSP,Nano IT Services AB
27552,NSP,TWDX IP
13720,Content,Sony Online Entertainment Inc.
19318,Content,InterServer
30588,Content,NCSoft
26458,Content,"Central Host, Inc."
8224,Cable/DSL/ISP,Intercom s.r.l.
8276,Content,Vone Services Ltd
7385,NSP,Electric Lightwave
34623,Content,Netegral Limited
34706,Content,Rack Sense Ltd
25041,Cable/DSL/ISP,Brightview
13446,Cable/DSL/ISP,United Online
2852,Educational/Research,CESNET
11666,NSP,Nexicom Inc.
8844,Cable/DSL/ISP,CI-Net Limited
25098,NSP,Netcalibre Ltd
2686,NSP,AT&T EMEA
2687,NSP,AT&T AP
2685,NSP,AT&T Canada
2688,NSP,AT&T LA
7018,NSP,AT&T US - 7018
15915,Cable/DSL/ISP,Ibercom
29636,Content,Catalyst2 Services Ltd
8758,Cable/DSL/ISP,iWay AG
30811,Content,ElektroPost AB
8881,Cable/DSL/ISP,1&1 Versatel Deutschland
29944,NSP,Databank Latisys Ashburn
2497,NSP,Internet Initiative Japan
8075,Content,Microsoft
13890,Content,VitalStream
34305,Content,Base IP B.V.
12008,Content,UltraDNS
31027,NSP,GlobalConnect AS31027
19255,Content,Your.Org
4739,Cable/DSL/ISP,iiNet
34119,NSP,Wildcard Networks
39326,NSP,Syntura Group Limited
13285,Cable/DSL/ISP,PlatformX Communications
42476,Route Server,SwissIX Route Servers
35985,Cable/DSL/ISP,One Ring Networks
29542,Cable/DSL/ISP,Elro Erhverv A/S
4837,NSP,China Unicom
30781,NSP,Free Pro
9036,Cable/DSL/ISP,Neuronnexion
20766,Non-Profit,Association Gitoyen
15670,Cable/DSL/ISP,BBned
10848,Content,NTT DATA Services - HCLS Cloud
31976,Content,Red Hat Inc
36561,Content,"YouTube, Inc."
8966,NSP,Etisalat
9092,Enterprise,Open Systems AG
19181,Content,CWIE
4610,Cable/DSL/ISP,Odyssey Networks New Zealand
15479,NSP,euNetworks AG
12611,NSP,R-KOM
29215,NSP,V-Com Openpath
5409,NSP,toplink GmbH
32272,Cable/DSL/ISP,"WestCoast Communications, LLC."
9119,Cable/DSL/ISP,Softnet Europe
6315,Cable/DSL/ISP,XMission
9505,NSP,TWGate
24875,Content,NovoServe B.V.
5418,Non-Profit,NerdNet
16298,Cable/DSL/ISP,InterBox Internet
29001,Content,DMA computer services
39615,Content,Mevershosting.nl
8582,NSP,XN
31673,NSP,Uniserver Internet BV
33845,NSP,BIT/FOITT
7065,Cable/DSL/ISP,"Sonic.net, Inc."
15436,Enterprise,Witbe
13189,NSP,Lidero Network
7922,Cable/DSL/ISP,Comcast
21263,Cable/DSL/ISP,TeleData GmbH
7500,Non-Profit,M-ROOT DNS Server
4713,NSP,NTT Communications Corporation (OCN)
21392,Content,MuntInternet
32903,NSP,Digital providers
2500,Educational/Research,WIDE Project
35916,NSP,MultaCOM
35217,NSP,OVEA (Legacy)
16030,Cable/DSL/ISP,Altecom
39202,Content,Global Radio
6908,NSP,Six Degrees - Datahop
29518,Cable/DSL/ISP,Bredband2
23342,NSP,UnitedLayer LLC
14891,Content,Electronic Arts
35706,Cable/DSL/ISP,Net at Once
26627,Content,Pilosoft Inc.
4648,Cable/DSL/ISP,Spark New Zealand
36692,Content,Cisco Umbrella
6648,NSP,Bayan Telecommunications Inc.
18922,Cable/DSL/ISP,Africa Online Operations (Mauritius) Ltd.
14833,Content,digg.com
39520,Content,Media Corporation Plc.
6536,Cable/DSL/ISP,Citynet
30212,Content,Hypermedia Systems
40064,Content,JumpTV
22384,Content,"NationalNet, Inc."
7342,NSP,Verisign
13005,Cable/DSL/ISP,C2 Internet
30827,Content,Extraordinary Managed Services
29422,NSP,Nebula Oy
35559,Educational/Research,Someaddress Networks
11456,Cable/DSL/ISP,NuVox
29006,Content,PoBox Hosting Ltd
39628,Content,Cu.be Solutions
11096,Educational/Research,Florida LambdaRail
23005,NSP,"Switch, Ltd."
13768,NSP,Aptum Technologies
25180,NSP,Exponential-e
39458,NSP,Real Hosts Limited
7473,Cable/DSL/ISP,Singapore Telecommunications Limited
12566,NSP,SFR Business Team
21230,Cable/DSL/ISP,MNET
41000,Content,Freethought Internet Limited
36856,Enterprise,Mozilla
20676,NSP,Plusnet GmbH
25899,NSP,LS Networks
14712,Educational/Research,One Step Consulting Inc
25752,Cable/DSL/ISP,"Neopolitan Networks, Inc."
10933,NSP,"ATX Communications, Inc."
11537,Educational/Research,UCAID
10490,Educational/Research,Southern Crossroads (SoX)
237,Educational/Research,Merit Network
3701,Educational/Research,Link Oregon
226,Educational/Research,Los Nettos
11164,Educational/Research,Internet2 I2PX
26803,Cable/DSL/ISP,Fiber Internet Center
29551,NSP,Aixit GmbH
250,Non-Profit,AS250.net
30141,Non-Profit,Democratic National Committee
24557,Content,UberGlobal Pty Ltd
6695,Route Server,DE-CIX Frankfurt Route Servers
41659,Content,SynergyWorks Internet
34106,Content,Telegraaf Media ICT BV.
19214,NSP,Centauri Communications
25286,Content,Ipercast
34197,NSP,SHRD
786,Educational/Research,Janet
34245,Cable/DSL/ISP,Magnet Networks
33968,Content,Internet Engineering Limited
41012,Cable/DSL/ISP,The Cloud Networks
35189,Content,Association Kazar
20917,Cable/DSL/ISP,Fiducial Cloud Network
21570,NSP,GTT Communications (AS21570)
12577,Cable/DSL/ISP,mmc gmbh
20860,Content,iomart
19475,NSP,"Gobanza, Inc."
32934,Content,Meta
33739,Content,Myspace
8359,Cable/DSL/ISP,Mobile TeleSystems PJSC
22989,Content,Free Software Foundation
35701,Non-Profit,Barnes & Morgan
40528,Non-Profit,ICANN AS40528
31334,Cable/DSL/ISP,Vodafone Kabel Deutschland GmbH
12635,Cable/DSL/ISP,ONE GmbH
5432,Cable/DSL/ISP,Proximus
24679,NSP,kyberio GmbH
34655,Content,JWE S.a r.l.
24961,Content,WIIT Group
29009,Cable/DSL/ISP,UK Broadband
22103,NSP,"Nextiva, Inc."
28878,NSP,Signet B.V.
33970,NSP,Open Hosting
22548,Non-Profit,NIC.BR
34688,Cable/DSL/ISP,Maverick
8195,Content,Interoute Managed Services Sweden AB
2516,NSP,KDDI
30880,Cable/DSL/ISP,SpaceDump IT AB
32105,Content,Icefrost/XHOP
21968,Content,Powerset
19835,Cable/DSL/ISP,Rogers FCI
2529,Cable/DSL/ISP,Thus PLC
41029,Content,Ebuyer (UK) Limited
40193,NSP,Trit Networks
6623,Content,CBS Interactive
22059,Educational/Research,AetherPaw MowNet
46199,Content,Clearleap
35788,Enterprise,Forcepoint - AMER
2914,NSP,NTT Global IP Network
24541,Content,HostAway
7610,Educational/Research,NUS Gigapop
34146,NSP,ISP Solutions SA
17451,NSP,Biznet Networks
31458,Cable/DSL/ISP,Digiweb
26769,NSP,BandCon
4657,NSP,StarHub AS4657
31736,Cable/DSL/ISP,senseLAN
3327,NSP,CITIC Telecom CPC Netherlands
41913,NSP,Computerline Group
18505,Content,Paltalk
36184,Enterprise,"Madison Tyler, LLC"
13332,Content,NephoScale
18508,Educational/Research,Force10 Networks
41157,Content,Oxymium
34309,NSP,Link11
18150,NSP,SNI
16402,Cable/DSL/ISP,"Universal Telecom, Inc."
41690,Content,Dailymotion
33811,Content,Digitas Pixelpark GmbH
40009,Content,BitGravity
22691,NSP,"ISPnet, Inc."
15149,Content,Access Integrated Technologies (Ezzi.net)
7829,Cable/DSL/ISP,"Telepacific Wireless , Inc. (formerly Covad Wireless)."
24077,NSP,TMHK
25074,NSP,MESH GmbH
14340,Content,Salesforce.com
8282,NSP,FidoNet
12496,Cable/DSL/ISP,IDNet
1280,Non-Profit,ISC
25061,Content,Associated Networks (UK) Ltd
12390,Cable/DSL/ISP,Kingston Communications
29131,NSP,RapidSwitch
40475,NSP,Applied Operations
17645,NSP,NTT Communications - NTT Singapore
20504,Content,RTLNederland Interactief B.V
30962,NSP,comtrance GmbH
36119,Non-Profit,"imeem, inc."
33554,Content,Neutral Data
27589,Content,MojoHost
35908,NSP,VPLS
15366,NSP,DNS:NET Internet Service
28753,Content,LeaseWeb Germany / FRA-01
36217,NSP,Ironpath Network Inc
8495,NSP,INTERNET AG Global Network
39721,Cable/DSL/ISP,E-Leven S.A.
9710,Enterprise,Neowiz Corp.
21011,NSP,TOP NET
13054,Cable/DSL/ISP,FreiNet
34288,Educational/Research,Kantonsschule Zug
31530,Content,ISP Solution UG
42018,Content,Hostbasket NV.
4691,NSP,"Dream Train Internet, Inc. (DTI)"
39621,Content,Stream UK
23504,Cable/DSL/ISP,Speakeasy
16713,NSP,NoaNet
14939,Cable/DSL/ISP,Threshold Communications AS14939
7752,Cable/DSL/ISP,Threshold Communications
36683,Educational/Research,Willamette ESD
11622,Content,"InfoSpace, Inc."
13917,Cable/DSL/ISP,Corporate West (Netmagic)
19108,Cable/DSL/ISP,Suddenlink Communications
22829,NSP,RNK Communications
23520,NSP,LIBERTY-NETWORKS
8302,Content,Zattoo
25308,NSP,CityLanCom AS25308
8879,NSP,DTS Systeme GmbH
4319,Cable/DSL/ISP,Cortland Communications
13122,NSP,Manx Telecom
8447,Cable/DSL/ISP,A1 Telekom Austria AG
16586,Cable/DSL/ISP,Clearwire
36824,NSP,Adtaq Internet
25220,Content,equada network GmbH
13246,Cable/DSL/ISP,InterNetWire Communications GmbH
8764,NSP,"Telia Lietuva, AB"
41853,NSP,NTCOM Ltd.
10594,NSP,Cutting Edge Communications
26914,Content,Synoptek
42856,Non-Profit,detebe
13331,Content,Metapeer
11274,Content,TierPoint Seattle
20495,NSP,WD6.net B.V.
2863,Educational/Research,SpriteLink International Carrier
21345,Content,Broadcom (EMEA)
27008,Cable/DSL/ISP,BendTel
6724,Content,STRATO AG
34549,NSP,meerfarbig GmbH & Co. KG
34899,NSP,Coast Media GmbH
25124,Cable/DSL/ISP,DATAK
39104,Content,OXEVA
11758,NSP,iRis Networks
12306,NSP,Plus.line AG
5390,Cable/DSL/ISP,Euronet Communications B.V.
7303,Cable/DSL/ISP,TELECOM ARGENTINA
32751,Content,"Nuclearfallout Enterprises, Inc."
8167,NSP,Vtal 8167
40068,Content,"Neovera, Inc."
33626,Route Collector,MEX-IX El Paso Route Collectors
8487,NSP,Phibee Telecom
30925,Cable/DSL/ISP,DELTA Fiber Nederland
13878,NSP,Scala Data Centers (SGRUTB01 AS)
8399,Cable/DSL/ISP,Sewan Communications
17346,Content,Bitnik
12714,Cable/DSL/ISP,PJSC MegaFon
16276,Content,OVHcloud
3216,NSP,VimpelCom
35425,Content,Bytemark Limited
25394,Cable/DSL/ISP,MK Netzdienste AS
20547,NSP,Six Degrees (ex-UKS)
13213,Content,UK2Group
25588,Content,Ultraspeed
29169,NSP,Gandi
20773,Content,Host Europe GmbH
15830,NSP,Equinix as15830
26972,NSP,Sirius Telecom
29668,NSP,vXtream Ltd
10881,Educational/Research,PoP-PR/RNP
23292,Cable/DSL/ISP,Broadstripe
40511,Cable/DSL/ISP,"Fireline Network Solutions, Inc dba: Fireline Broadband"
8851,Cable/DSL/ISP,Nasstar
30914,Content,ioko
15766,NSP,Domicilium (IoM) Limited
11608,Content,Accretive Networks
12874,Cable/DSL/ISP,Fastweb
7459,Cable/DSL/ISP,Grande Communications
42579,NSP,Sargasso Networks Ltd. (UK)
